,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP1,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP2,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP3,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4,SSP4
year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ISO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,26.074261,26.737581,26.663391,26.71508,26.758348,26.782524,26.837685,26.851339,26.824463,26.787796,26.741341,26.682449,26.613897,26.535656,26.447815,26.350504,26.246607,26.133263,26.010696,25.879028,25.738306,25.58695,25.428722,25.261642,25.085968,24.901684,24.703526,24.497318,24.283215,24.061445,23.831985,23.591314,23.343418,23.08844,22.826567,22.55788,22.282433,22.000406,21.711882,21.417368,21.159569,20.903536,20.644199,20.381666,20.1209565598,19.8728769283,19.636815267,19.4121893774,19.198445265,18.9950557728,18.8015192816,18.6173584727,18.4421191504,18.2753691223,18.1166971329,17.9657118498,17.822040898,17.6853299422,17.5552418122,17.4314556719,17.3136662277,17.2015829756,17.0949294848,16.9934427159,16.8968723724,16.8049802828,16.7175398137,16.634335311,16.5551615674,16.4798233168,16.4081347526,16.3399190694,16.2750080269,16.213241535,16.1544672593,16.0985402447,16.0453225585,15.9946829501,15.9464965269,15.900644447,15.8570136253,15.8154964552,15.775990543,15.7383984554,15.7026274789,15.6685893917,15.6362002456,15.6053801594,15.5760531216,15.5481468028,26.06949,26.804142,26.807251,26.942604,27.075573,27.201426,27.326729,27.416418,27.4697,27.517378,27.559315,27.596317,27.627398,27.652617,27.671972,27.685549,27.697527,27.703724,27.704248,27.699167,27.688583,27.669241,27.64147,27.609221,27.572618,27.531593,27.47971,27.42362,27.363434,27.299229,27.230888,27.151932,27.069109,26.982578,26.892355,26.798399,26.697035,26.592125,26.483799,26.372608,26.258331,26.142569,26.023523,25.901237,25.775803,25.647511,25.51918,25.387899,25.25379,25.11689,24.977716,24.841034,24.701754,24.56003,24.415901,24.269745,24.125015,23.978073,23.828995,23.67778,23.524954,23.374771,23.222607,23.068596,22.912701,22.7558,22.60474,22.451982,22.297543,22.141506,21.984924,21.835943,21.68544,21.533484,21.380173,21.226614,21.080959,20.933981,20.785789,20.636349,20.487186,20.347446,20.206556,20.064592,19.921597,19.778885,19.643591,19.507343,19.370165,19.232059,26.068783,26.882103,26.972239,27.20299,27.439514,27.680796,27.907501,28.109791,28.281431,28.453342,28.625334,28.809433,28.993221,29.176672,29.359682,29.542278,29.732769,29.922626,30.111862,30.300478,30.48856,30.68243,30.872179,31.062277,31.252718,31.443544,31.638306,31.833307,32.028557,32.224045,32.419838,32.619816,32.819946,33.020245,33.220699,33.4216,33.633217,33.844929,34.056744,34.268932,34.481651,34.705776,34.929848,35.153851,35.377796,35.6021,35.837807,36.073452,36.309059,36.544628,36.780613,37.026867,37.273109,37.519352,37.765602,38.012386,38.27018,38.528004,38.785873,39.043793,39.302212,39.569317,39.836479,40.103714,40.371017,40.638798,40.913532,41.188335,41.463226,41.738201,42.013577,42.293678,42.573864,42.854156,43.134541,43.415195,43.69812,43.98114,44.264271,44.547501,44.830841,45.1143,45.397854,45.681511,45.965271,46.249069,46.532196,46.815426,47.098755,47.382191,26.066082,26.910206,27.031157,27.292898,27.560543,27.831751,28.100306,28.337511,28.545574,28.756258,28.969473,29.205744,29.44397,29.684025,29.925756,30.168884,30.406349,30.644871,30.884359,31.124672,31.365871,31.615627,31.867411,32.118782,32.369781,32.620567,32.87534,33.129734,33.383816,33.637627,33.891399,34.149567,34.407516,34.66531,34.922997,35.18111,35.448223,35.715282,35.982342,36.249737,36.517879,36.795742,37.07357,37.35141,37.629299,37.908001,38.196411,38.485008,38.773846,39.062969,39.353088,39.651573,39.950428,40.249714,40.54945,40.850407,41.159512,41.469151,41.779369,42.090183,42.402218,42.720406,43.039246,43.358757,43.678974,44.00034,44.325905,44.652206,44.979275,45.307121,45.635986,45.967018,46.298855,46.631535,46.965065,47.299091,47.631016,47.963806,48.297478,48.632057,48.966751,49.29723,49.628582,49.960857,50.29406,50.627499,50.957699,51.288811,51.620872,51.953903
BEL,28.349951,27.892923,27.666281,27.669338,27.500769,27.33794,27.265703,27.214397,27.118797,27.014381,26.900686,26.790777,26.671864,26.543839,26.406736,26.260511,26.107483,25.945534,25.774891,25.595661,25.40794,25.219217,25.023624,24.820086,24.608826,24.3901,24.171606,23.945992,23.713362,23.473915,23.228037,22.987028,22.739683,22.486109,22.226454,21.961212,21.703762,21.440594,21.171768,20.897625,20.637144,20.389391,20.138472,19.884474,19.6356199964,19.3994445975,19.1753018543,18.9625787273,18.7606934105,18.5690937395,18.3872556815,18.2146819023,18.0509004058,17.8954632429,17.747945287,17.6079430705,17.4750736819,17.348973718,17.2292982905,17.1157200823,17.0079284525,16.9056285868,16.8085406909,16.7163992256,16.6289521803,16.5459603839,16.4671968505,16.3924461588,16.3215038626,16.2541759319,16.1902782221,16.1296359706,16.0720833183,16.0174628564,15.9656251958,15.9164285585,15.8697383896,15.8254269898,15.7833731655,15.743461898,15.7055840283,15.6696359589,15.6355193704,15.6031409527,15.5724121494,15.543248916,15.51557149,15.4893041725,15.4643751213,15.4407161545,28.344276,27.981676,27.854189,27.958546,27.895214,27.849993,27.834431,27.842302,27.810179,27.773514,27.731668,27.696428,27.6558,27.609703,27.558027,27.500652,27.437822,27.36935,27.295282,27.215654,27.13055,27.043333,26.948822,26.849247,26.744722,26.635366,26.524193,26.408302,26.28779,26.162735,26.03335,25.905891,25.774145,25.638256,25.498251,25.354496,25.21759,25.076826,24.932325,24.78446,24.63353,24.494566,24.352205,24.206497,24.057526,23.90593,23.765081,23.621222,23.474442,23.324776,23.17296,23.031076,22.886513,22.739407,22.589787,22.438375,22.296177,22.15167,22.004927,21.855936,21.705591,21.565542,21.423426,21.279375,21.133343,20.986362,20.850662,20.713196,20.573967,20.43306,20.291454,20.160557,20.028059,19.89403,19.758572,19.622561,19.495928,19.367903,19.238575,19.107924,18.97678,18.852581,18.727135,18.600519,18.472763,18.344479,18.220495,18.095432,17.969303,17.842113,28.335514,28.113186,28.134102,28.395256,28.496185,28.63456,28.743887,28.884865,28.996601,29.110016,29.224249,29.36277,29.501911,29.641529,29.781433,29.921385,30.064436,30.207422,30.350298,30.493023,30.635458,30.786909,30.936209,31.085506,31.234785,31.383986,31.542465,31.700878,31.859222,32.017483,32.175667,32.347401,32.519035,32.690578,32.86203,33.033485,33.228424,33.423275,33.618038,33.812859,34.007843,34.225185,34.44244,34.659607,34.876682,35.09391,35.328876,35.563782,35.798634,36.033443,36.268414,36.514194,36.759945,37.00568,37.251404,37.497326,37.751919,38.006519,38.261131,38.515759,38.77055,39.030037,39.289547,39.54908,39.808647,40.068356,40.330948,40.593571,40.856228,41.118923,41.381741,41.646572,41.911434,42.176334,42.441277,42.706284,42.971596,43.236938,43.502323,43.76775,44.03318,44.297703,44.562256,44.826839,45.091469,45.356068,45.619217,45.882393,46.145603,46.408852,28.333109,28.147654,28.205473,28.503553,28.641371,28.815847,28.975109,29.16474,29.32024,29.478451,29.6385,29.836628,30.036457,30.237783,30.440409,30.644136,30.834347,31.025211,31.216614,31.408434,31.600569,31.803362,32.007301,32.210915,32.414204,32.617325,32.829903,33.042152,33.254089,33.465729,33.677368,33.900806,34.123989,34.346935,34.569675,34.792789,35.034634,35.276321,35.517876,35.759495,36.001743,36.260948,36.520042,36.779049,37.037987,37.297565,37.570667,37.843784,38.116947,38.390167,38.664051,38.94698,39.230022,39.513195,39.796524,40.080647,40.373112,40.665783,40.958672,41.251793,41.545612,41.844158,42.142967,42.442055,42.741432,43.041306,43.342335,43.643658,43.945309,44.247288,44.549442,44.848877,45.148632,45.448738,45.749191,46.049088,46.339703,46.630611,46.921848,47.213421,47.504608,47.789795,48.075272,48.361053,48.64716,48.932987,49.214417,49.496109,49.778107,50.060425
BGR,36.120251,35.952427,35.914841,35.817028,35.7798,35.726009,35.867489,36.125523,36.34697,36.556721,36.754749,36.954517,37.141701,37.315868,37.476719,37.623199,37.727715,37.817619,37.892773,37.95295,37.997429,38.014046,38.019333,38.005257,37.972328,37.920944,37.848354,37.758217,37.650982,37.527176,37.388157,37.241142,37.078949,36.901989,36.710732,36.507423,36.30534,36.090145,35.86216,35.621765,35.508728,35.394802,35.276276,35.153412,35.02639,34.89497,34.756523,34.614479,34.469101,34.320484,34.168518,34.011265,33.851254,33.688644,33.523502,33.357346,33.194775,33.030125,32.863468,32.694942,32.527664,32.372173,32.215134,32.056633,31.896772,31.739681,31.59844,31.456121,31.312807,31.168539,31.027229,30.89991,30.771914,30.643236,30.513969,30.389967,30.286831,30.183363,30.079563,29.97547,29.873932,29.78166,29.689251,29.596771,29.504185,29.415249,29.338371,29.261564,29.184816,29.108177,36.114277,36.133041,36.286068,36.384834,36.551899,36.717342,36.993519,37.405884,37.778625,38.137203,38.481812,38.830021,39.164017,39.483925,39.789829,40.081692,40.347862,40.600334,40.83926,41.0648,41.276936,41.465931,41.636223,41.802479,41.964832,42.123222,42.271206,42.415497,42.556202,42.69342,42.827267,42.956223,43.081963,43.204639,43.324299,43.44109,43.554352,43.664871,43.772789,43.878254,43.98111,44.077999,44.172668,44.265209,44.355732,44.443928,44.523197,44.600723,44.676628,44.750973,44.823593,44.889946,44.954983,45.018864,45.08165,45.143433,45.20327,45.262283,45.320564,45.378143,45.435616,45.496399,45.556744,45.616802,45.676567,45.736858,45.802658,45.868462,45.934311,46.00032,46.067142,46.138943,46.211079,46.283638,46.35675,46.430843,46.508812,46.587471,46.666939,46.747219,46.828781,46.913784,46.999798,47.086914,47.175182,47.265228,47.359955,47.456047,47.553539,47.652454,36.104794,36.245274,36.527901,36.763428,37.07584,37.397495,37.790825,38.341507,38.839989,39.324234,39.794498,40.279354,40.749779,41.205887,41.6478,42.076008,42.501499,42.913261,43.311478,43.696308,44.068069,44.432205,44.775227,45.118191,45.461082,45.803978,46.149044,46.493984,46.838795,47.18346,47.528198,47.878098,48.227859,48.57748,48.926964,49.276608,49.632996,49.989265,50.345421,50.701466,51.057838,51.423149,51.788391,52.153572,52.518696,52.88401,53.25407,53.624126,53.99419,54.364269,54.734375,55.105213,55.476109,55.847073,56.218113,56.589027,56.957161,57.325413,57.693779,58.0530962461,58.394742403,58.7195865283,59.0284549397,59.3221333168,59.6013687,59.8668713903,60.1193167565,60.359346953,60.5875725533,60.8045741029,61.0109035966,61.2070858821,61.3936199954,61.57098043,61.739618344,61.8999627078,62.0524213951,62.1973822206,62.3352139262,62.4662671196,62.5908751654,62.7093550336,62.8220081057,62.9291209414,63.0309660075,63.1278023709,63.2198763577,63.30742218,63.3906625311,63.4698091525,36.103371,36.244045,36.526642,36.762016,37.07431,37.39492,37.828247,38.40926,38.959633,39.505848,40.048302,40.620396,41.187428,41.749207,42.305592,42.854229,43.349346,43.838348,44.321255,44.798092,45.26862,45.72467,46.170982,46.617702,47.064846,47.512108,47.952663,48.393555,48.834812,49.276459,49.718487,50.159622,50.601208,51.043293,51.48592,51.929482,52.377789,52.826763,53.276463,53.726959,54.178078,54.627605,55.078049,55.529476,55.981964,56.434605,56.8724589453,57.2879302595,57.6821631189,58.0562432109,58.4112007237,58.7480131834,59.0676081459,59.3708657515,59.6586211486,59.9316667938,60.1907546339,60.4365981773,60.6698744585,60.8912259026,61.1012620946,61.3005614583,61.4896728491,61.6691170654,61.8393882828,62.0009554154,62.1542634069,62.2997344558,62.4377691783,62.5687477116,62.6930307606,62.8109605914,62.9228619738,63.0290430758,63.129796312,63.2253991491,63.3161148702,63.4021932995,63.4838714904,63.5613743784,63.6349154006,63.7046970835,63.7709116005,63.8337413012,63.8933592141,63.9499295222,64.0036080159,64.0545425217,64.1028733094,64.1487334782
BLR,25.279303,25.569714,25.520451,25.355467,25.22089,25.115076,25.215233,25.340946,25.435713,25.522364,25.602335,25.700922,25.790541,25.87067,25.940924,26.000156,26.032026,26.052406,26.06098,26.05731,26.038561,25.97987,25.914083,25.830885,25.730345,25.611433,25.464735,25.300631,25.119127,24.920366,24.705442,24.477293,24.232189,23.970221,23.69154,23.400349,23.110628,22.804766,22.482821,22.144968,21.993038,21.844955,21.692106,21.534649,21.372675,21.205502,21.031227,20.852728,20.670195,20.483664,20.290743,20.086306,19.878086,19.666193,19.450634,19.2390411219,19.0375078322,18.845555876,18.6627297358,18.4885955504,18.3227400851,18.1647697515,18.0143096731,17.8710027961,17.7345090416,17.6045044988,17.4806806565,17.3627436705,17.2504136668,17.1434240773,17.041521007,16.9444626316,16.8520186237,16.7639696063,16.6801066317,16.6002306865,16.5241522184,16.4516906872,16.3826741357,16.3169387821,16.254328631,16.1946951035,16.1378966844,16.0837985863,16.0322724303,15.9831959404,15.9364526542,15.8919316461,15.8495272642,15.8091388793,25.271547,25.820679,26.034988,26.140158,26.285345,26.47234,26.750389,27.074518,27.368601,27.656021,27.937958,28.236902,28.528309,28.811951,29.087543,29.355095,29.610676,29.857445,30.095196,30.323721,30.541679,30.729048,30.89703,31.063267,31.227812,31.389669,31.53454,31.677671,31.819099,31.958853,32.096542,32.225536,32.352913,32.478775,32.6031,32.72636,32.850094,32.972412,33.093418,33.213192,33.332123,33.45192,33.570602,33.688217,33.804829,33.919617,34.026451,34.132401,34.237549,34.341911,34.443802,34.533432,34.622349,34.710659,34.798397,34.883762,34.957935,35.031628,35.104885,35.177719,35.249683,35.31842,35.386848,35.455101,35.523144,35.592148,35.665871,35.739616,35.813393,35.887299,35.962906,36.045414,36.128185,36.211288,36.294834,36.379642,36.468609,36.558105,36.648224,36.738964,36.830326,36.922497,37.015404,37.109131,37.20372,37.299221,37.395866,37.493511,37.592175,37.691868,25.266167,25.948997,26.305437,26.560539,26.86413,27.220018,27.612856,28.069944,28.491734,28.908157,29.320576,29.756731,30.186321,30.609007,31.024391,31.433426,31.84972,32.257664,32.656902,33.0471,33.427868,33.795696,34.14043,34.486588,34.83411,35.182762,35.529312,35.877026,36.225842,36.575733,36.926792,37.279613,37.633377,37.988041,38.343582,38.700577,39.064335,39.428894,39.794231,40.160324,40.528152,40.906219,41.285011,41.664513,42.044712,42.426052,42.812057,43.198746,43.586105,43.974125,44.362476,44.749031,45.136219,45.524044,45.912487,46.300739,46.683552,47.066959,47.450958,47.835548,48.220261,48.602097,48.984505,49.367489,49.751038,50.135235,50.52,50.905338,51.291248,51.677731,52.065067,52.454372,52.844261,53.234737,53.625797,54.017418,54.409298,54.801773,55.194843,55.588512,55.982365,56.374542,56.767315,57.160698,57.554688,57.948811,58.341133,58.734074,59.127632,59.521809,25.263435,25.919477,26.24925,26.477753,26.755146,27.084543,27.519045,28.008825,28.476543,28.947128,29.422745,29.935211,30.44945,30.965128,31.481903,31.99382,32.458084,32.921795,33.384708,33.846561,34.305428,34.74152,35.169483,35.601383,36.037132,36.475277,36.902634,37.333424,37.767593,38.205074,38.645302,39.083382,39.524548,39.968739,40.415943,40.866974,41.326084,41.788094,42.252991,42.720753,43.191479,43.665298,44.141903,44.6213,45.103481,45.58659,46.063366,46.542854,47.025059,47.509995,47.994038,48.466049,48.940651,49.417866,49.897709,50.376633,50.846439,51.31879,51.793701,52.27121,52.748413,53.221409,53.696957,54.175083,54.655819,55.137184,55.607923736,56.0561956596,56.4830721312,56.8895743285,57.2766746901,57.6452992408,57.9963298079,58.3306061299,58.6489278657,58.9520565077,59.2407172028,59.515600488,59.7773639416,60.0266337565,60.2640062384,60.4900492319,60.7053034792,60.9102839134,61.1054808907,61.2913613631,61.4683699956,61.6369302299,61.7974452973,61.9502991836
BOL,55.876625,55.509068,55.266956,55.004005,54.72953,54.316517,54.118164,53.882065,53.587025,53.252861,52.879219,52.467991,52.016582,51.524216,50.990162,50.415089,49.797115,49.136021,48.431152,47.681755,46.892242,46.087551,45.254013,44.384075,43.477722,42.543236,41.603951,40.630169,39.621838,38.6217618535,37.6623062448,36.7418212712,35.8587240453,35.0114959723,34.1986801387,33.4188788075,32.6707510138,31.9530102594,31.2644223006,30.6038030252,29.9700164167,29.3619726009,28.7786259712,28.218973391,27.6820524686,27.1669399022,26.672749892,26.1986326173,25.7437727749,25.307388177,24.8887284064,24.487073526,24.1017328405,23.732043709,23.3773704054,23.0371030252,22.7106564365,22.3974692741,22.097002974,21.8087408473,21.5321871916,21.2668664388,21.012322337,20.7681171662,20.5338309854,20.3090609107,20.0934204221,19.8865386991,19.6880599831,19.4976429654,19.3149602004,19.1396975425,18.971553606,18.8102392465,18.6554770642,18.5070009262,18.3645555096,18.2278958618,18.0967869797,17.9710034055,17.8503288386,17.7345557642,17.6234850963,17.5169258352,17.414694739,17.3166160086,17.2225209857,17.1322478622,17.0456414023,16.9625526755,55.669872,55.478237,55.412041,55.324333,55.224392,55.088863,54.965843,54.823845,54.635723,54.423801,54.190491,53.943863,53.677364,53.392185,53.089397,52.772614,52.453545,52.121037,51.776302,51.420601,51.059086,50.706123,50.318424,49.909504,49.479282,49.031956,48.574383,48.095768,47.595997,47.074913,46.536705,45.982792,45.407696,44.811337,44.193504,43.558697,42.905735,42.231369,41.535503,40.818016,40.084103,39.332848,38.560024,37.765453,36.949013,36.116734,35.267826,34.423469966,33.6142897378,32.8388198942,32.0956560632,31.3834523787,30.7009190437,30.0468199936,29.4199706584,28.8192358171,28.243527542,27.6918032282,27.1630637058,26.6563514303,26.1707487483,25.7053762357,25.2593911054,24.8319856804,24.4223859317,24.0298500763,23.6536672337,23.2931561387,22.9476639075,22.6165648554,22.2992593637,21.9951727938,21.7037544465,21.4244765645,21.1568333771,20.9003401838,20.6545324767,20.4189650993,20.1932114403,19.9768626609,19.7695269546,19.5708288376,19.3804084684,19.1979209968,19.0230359389,18.8554365787,18.6948193946,18.5408935098,18.3933801652,18.2520122149,55.450191,55.398258,55.483475,55.5583,55.632156,55.710094,55.669773,55.64962,55.599712,55.544453,55.488037,55.447975,55.407021,55.366539,55.327805,55.297543,55.302689,55.31448,55.334347,55.36377,55.410427,55.496586,55.555622,55.609531,55.65836,55.706913,55.765182,55.818851,55.867954,55.912529,55.957066,56.00835,56.055523,56.098614,56.13765,56.176285,56.217052,56.254097,56.287434,56.317097,56.347591,56.383766,56.416603,56.446117,56.472328,56.499302,56.530838,56.559341,56.584839,56.607353,56.629398,56.652657,56.673092,56.690742,56.705605,56.717709,56.725975,56.731499,56.734287,56.734352,56.731586,56.725399,56.716526,56.704952,56.690701,56.673843,56.654232,56.631969,56.607056,56.579502,56.549744,56.518009,56.483669,56.446716,56.407177,56.365498,56.32193,56.275795,56.227085,56.175808,56.122635,56.067829,56.010502,55.950615,55.888206,55.823624,55.756981,55.687798,55.616096,55.541862,55.410599,55.368145,55.46529,55.554459,55.645157,55.710548,55.738907,55.776379,55.781101,55.776211,55.767502,55.778873,55.784019,55.783604,55.778263,55.750984,55.659679,55.562187,55.458981,55.350521,55.243809,55.152802,55.038914,54.913376,54.776138,54.631416,54.481014,54.319321,54.14629,53.961868,53.76955,53.567757,53.354843,53.130787,52.895535,52.65028,52.390213,52.119011,51.836597,51.542938,51.242069,50.933411,50.613743,50.283009,49.941158,49.591045,49.232319,48.862556,48.481709,48.089714,47.684193,47.265194,46.834759,46.392826,45.93932,45.463913,44.967506,44.458698,43.937401,43.403507,42.846874,42.269939,41.679565,41.075623,40.458031,39.81958,39.162849,38.491699,37.806015,37.105659,36.38747,35.652855,34.902981,34.137707,33.356865,32.560013,31.747475,30.918852,30.073982,29.21269,28.336195,27.443846,26.534595,25.60824,24.664602,23.70459,22.727461,21.732489,20.719433,19.688087
