cntry_code,year,policy_both3_r1Gini_SSP1,policy_both3_r1Gini_SSP2,policy_both3_r1Gini_SSP3,policy_both3_r1Gini_SSP4
BLR,2021,25.602335,27.937958,29.320576,29.422745
BLR,2022,25.700922,28.236902,29.756731,29.935211
BLR,2023,25.790541,28.528309,30.186321,30.44945
BLR,2024,25.87067,28.811951,30.609007,30.965128
BLR,2025,25.940924,29.087543,31.024391,31.481903
BLR,2026,26.000156,29.355095,31.433426,31.99382
BLR,2027,26.032026,29.610676,31.84972,32.458084
BLR,2028,26.052406,29.857445,32.257664,32.921795
BLR,2029,26.06098,30.095196,32.656902,33.384708
BLR,2030,26.05731,30.323721,33.0471,33.846561
BLR,2031,26.038561,30.541679,33.427868,34.305428
BLR,2032,25.97987,30.729048,33.795696,34.74152
BLR,2033,25.914083,30.89703,34.14043,35.169483
BLR,2034,25.830885,31.063267,34.486588,35.601383
BLR,2035,25.730345,31.227812,34.83411,36.037132
BLR,2036,25.611433,31.389669,35.182762,36.475277
BLR,2037,25.464735,31.53454,35.529312,36.902634
BLR,2038,25.300631,31.677671,35.877026,37.333424
BLR,2039,25.119127,31.819099,36.225842,37.767593
BLR,2040,24.920366,31.958853,36.575733,38.205074
BLR,2041,24.705442,32.096542,36.926792,38.645302
BLR,2042,24.477293,32.225536,37.279613,39.083382
BLR,2043,24.232189,32.352913,37.633377,39.524548
BLR,2044,23.970221,32.478775,37.988041,39.968739
BLR,2045,23.69154,32.6031,38.343582,40.415943
BLR,2046,23.400349,32.72636,38.700577,40.866974
BLR,2047,23.110628,32.850094,39.064335,41.326084
BLR,2048,22.804766,32.972412,39.428894,41.788094
BLR,2049,22.482821,33.093418,39.794231,42.252991
BLR,2050,22.144968,33.213192,40.160324,42.720753
BLR,2051,21.993038,33.332123,40.528152,43.191479
BLR,2052,21.844955,33.45192,40.906219,43.665298
BLR,2053,21.692106,33.570602,41.285011,44.141903
BLR,2054,21.534649,33.688217,41.664513,44.6213
BLR,2055,21.372675,33.804829,42.044712,45.103481
BLR,2056,21.205502,33.919617,42.426052,45.58659
BLR,2057,21.031227,34.026451,42.812057,46.063366
BLR,2058,20.852728,34.132401,43.198746,46.542854
BLR,2059,20.670195,34.237549,43.586105,47.025059
BLR,2060,20.483664,34.341911,43.974125,47.509995
BLR,2061,20.290743,34.443802,44.362476,47.994038
BLR,2062,20.086306,34.533432,44.749031,48.466049
BLR,2063,19.878086,34.622349,45.136219,48.940651
BLR,2064,19.666193,34.710659,45.524044,49.417866
BLR,2065,19.450634,34.798397,45.912487,49.897709
BLR,2066,19.231236,34.883762,46.300739,50.376633
BLR,2067,19.007404,34.957935,46.683552,50.846439
BLR,2068,18.78019,35.031628,47.066959,51.31879
BLR,2069,18.549612,35.104885,47.450958,51.793701
BLR,2070,18.315784,35.177719,47.835548,52.27121
BLR,2071,18.08186,35.249683,48.220261,52.748413
BLR,2072,17.852859,35.31842,48.602097,53.221409
BLR,2073,17.620844,35.386848,48.984505,53.696957
BLR,2074,17.385876,35.455101,49.367489,54.175083
BLR,2075,17.148022,35.523144,49.751038,54.655819
BLR,2076,16.912935,35.592148,50.135235,55.137184
BLR,2077,16.688442,35.665871,50.52,55.619225
BLR,2078,16.461332,35.739616,50.905338,56.103886
BLR,2079,16.231657,35.813393,51.291248,56.591217
BLR,2080,15.999457,35.887299,51.677731,57.081238
BLR,2081,15.770968,35.962906,52.065067,57.571857
BLR,2082,15.553729,36.045414,52.454372,58.063625
BLR,2083,15.334262,36.128185,52.844261,58.558121
BLR,2084,15.112504,36.211288,53.234737,59.055374
BLR,2085,14.888556,36.294834,53.625797,59.555435
BLR,2086,14.671554,36.379642,54.017418,60.055477
BLR,2087,14.471433,36.468609,54.409298,60.554829
BLR,2088,14.269413,36.558105,54.801773,61.057003
BLR,2089,14.065487,36.648224,55.194843,61.562035
BLR,2090,13.859673,36.738964,55.588512,62.069977
BLR,2091,13.656447,36.830326,55.982365,62.57793
BLR,2092,13.460012,36.922497,56.374542,63.084515
BLR,2093,13.261841,37.015404,56.767315,63.594028
BLR,2094,13.061974,37.109131,57.160698,64.106522
BLR,2095,12.860375,37.20372,57.554688,64.622025
BLR,2096,12.664995,37.299221,57.948811,65.138771
BLR,2097,12.482435,37.395866,58.341133,65.656494
BLR,2098,12.298376,37.493511,58.734074,66.177322
BLR,2099,12.112794,37.592175,59.127632,66.701271
BLR,2100,11.925723,37.691868,59.521809,67.228409
BEL,2011,28.349951,28.344276,28.335514,28.333109
BEL,2012,27.892923,27.981676,28.113186,28.147654
BEL,2013,27.666281,27.854189,28.134102,28.205473
BEL,2014,27.669338,27.958546,28.395256,28.503553
BEL,2015,27.500769,27.895214,28.496185,28.641371
BEL,2016,27.33794,27.849993,28.63456,28.815847
BEL,2017,27.265703,27.834431,28.743887,28.975109
BEL,2018,27.214397,27.842302,28.884865,29.16474
BEL,2019,27.118797,27.810179,28.996601,29.32024
BEL,2020,27.014381,27.773514,29.110016,29.478451
BEL,2021,26.900686,27.731668,29.224249,29.6385
BEL,2022,26.790777,27.696428,29.36277,29.836628
BEL,2023,26.671864,27.6558,29.501911,30.036457
BEL,2024,26.543839,27.609703,29.641529,30.237783
BEL,2025,26.406736,27.558027,29.781433,30.440409
BEL,2026,26.260511,27.500652,29.921385,30.644136
BEL,2027,26.107483,27.437822,30.064436,30.834347
BEL,2028,25.945534,27.36935,30.207422,31.025211
BEL,2029,25.774891,27.295282,30.350298,31.216614
BEL,2030,25.595661,27.215654,30.493023,31.408434
BEL,2031,25.40794,27.13055,30.635458,31.600569
BEL,2032,25.219217,27.043333,30.786909,31.803362
BEL,2033,25.023624,26.948822,30.936209,32.007301
BEL,2034,24.820086,26.849247,31.085506,32.210915
BEL,2035,24.608826,26.744722,31.234785,32.414204
BEL,2036,24.3901,26.635366,31.383986,32.617325
BEL,2037,24.171606,26.524193,31.542465,32.829903
BEL,2038,23.945992,26.408302,31.700878,33.042152
BEL,2039,23.713362,26.28779,31.859222,33.254089
BEL,2040,23.473915,26.162735,32.017483,33.465729
BEL,2041,23.228037,26.03335,32.175667,33.677368
BEL,2042,22.987028,25.905891,32.347401,33.900806
BEL,2043,22.739683,25.774145,32.519035,34.123989
BEL,2044,22.486109,25.638256,32.690578,34.346935
BEL,2045,22.226454,25.498251,32.86203,34.569675
BEL,2046,21.961212,25.354496,33.033485,34.792789
BEL,2047,21.703762,25.21759,33.228424,35.034634
BEL,2048,21.440594,25.076826,33.423275,35.276321
BEL,2049,21.171768,24.932325,33.618038,35.517876
BEL,2050,20.897625,24.78446,33.812859,35.759495
BEL,2051,20.637144,24.63353,34.007843,36.001743
BEL,2052,20.389391,24.494566,34.225185,36.260948
BEL,2053,20.138472,24.352205,34.44244,36.520042
BEL,2054,19.884474,24.206497,34.659607,36.779049
BEL,2055,19.62743,24.057526,34.876682,37.037987
BEL,2056,19.368181,23.90593,35.09391,37.297565
BEL,2057,19.120731,23.765081,35.328876,37.570667
BEL,2058,18.870489,23.621222,35.563782,37.843784
BEL,2059,18.617596,23.474442,35.798634,38.116947
BEL,2060,18.36202,23.324776,36.033443,38.390167
BEL,2061,18.104719,23.17296,36.268414,38.664051
BEL,2062,17.858038,23.031076,36.514194,38.94698
BEL,2063,17.608942,22.886513,36.759945,39.230022
BEL,2064,17.35751,22.739407,37.00568,39.513195
BEL,2065,17.10372,22.589787,37.251404,39.796524
BEL,2066,16.848557,22.438375,37.497326,40.080647
BEL,2067,16.602564,22.296177,37.751919,40.373112
BEL,2068,16.354441,22.15167,38.006519,40.665783
BEL,2069,16.104208,22.004927,38.261131,40.958672
BEL,2070,15.85194,21.855936,38.515759,41.251793
BEL,2071,15.598984,21.705591,38.77055,41.545612
BEL,2072,15.360798,21.565542,39.030037,41.844158
BEL,2073,15.120708,21.423426,39.289547,42.142967
BEL,2074,14.878778,21.279375,39.54908,42.442055
BEL,2075,14.635048,21.133343,39.808647,42.741432
BEL,2076,14.391331,20.986362,40.068356,43.041306
BEL,2077,14.166814,20.850662,40.330948,43.342335
BEL,2078,13.940626,20.713196,40.593571,43.643658
BEL,2079,13.71283,20.573967,40.856228,43.945309
BEL,2080,13.483438,20.43306,41.118923,44.247288
BEL,2081,13.254423,20.291454,41.381741,44.549442
BEL,2082,13.043816,20.160557,41.646572,44.848877
BEL,2083,12.831785,20.028059,41.911434,45.148632
BEL,2084,12.618281,19.89403,42.176334,45.448738
BEL,2085,12.403398,19.758572,42.441277,45.749191
BEL,2086,12.189581,19.622561,42.706284,46.049088
BEL,2087,11.997355,19.495928,42.971596,46.339703
BEL,2088,11.803842,19.367903,43.236938,46.630611
BEL,2089,11.609057,19.238575,43.502323,46.921848
BEL,2090,11.413016,19.107924,43.76775,47.213421
BEL,2091,11.217318,18.97678,44.03318,47.504608
BEL,2092,11.03359,18.852581,44.297703,47.789795
BEL,2093,10.848681,18.727135,44.562256,48.075272
BEL,2094,10.662646,18.600519,44.826839,48.361053
BEL,2095,10.475468,18.472763,45.091469,48.64716
BEL,2096,10.288374,18.344479,45.356068,48.932987
BEL,2097,10.109928,18.220495,45.619217,49.214417
BEL,2098,9.9303808,18.095432,45.882393,49.496109
BEL,2099,9.7497511,17.969303,46.145603,49.778107
BEL,2100,9.5680408,17.842113,46.408852,50.060425
BOL,2011,55.876625,55.669872,55.450191,55.410599
BOL,2012,55.509068,55.478237,55.398258,55.368145
BOL,2013,55.266956,55.412041,55.483475,55.46529
BOL,2014,55.004005,55.324333,55.5583,55.554459
BOL,2015,54.72953,55.224392,55.632156,55.645157
BOL,2016,54.316517,55.088863,55.710094,55.710548
BOL,2017,54.118164,54.965843,55.669773,55.738907
BOL,2018,53.882065,54.823845,55.64962,55.776379
BOL,2019,53.587025,54.635723,55.599712,55.781101
BOL,2020,53.252861,54.423801,55.544453,55.776211
BOL,2021,52.879219,54.190491,55.488037,55.767502
BOL,2022,52.467991,53.943863,55.447975,55.778873
BOL,2023,52.016582,53.677364,55.407021,55.784019
BOL,2024,51.524216,53.392185,55.366539,55.783604
BOL,2025,50.990162,53.089397,55.327805,55.778263
BOL,2026,50.415089,52.772614,55.297543,55.750984
BOL,2027,49.797115,52.453545,55.302689,55.659679
BOL,2028,49.136021,52.121037,55.31448,55.562187
BOL,2029,48.431152,51.776302,55.334347,55.458981
BOL,2030,47.681755,51.420601,55.36377,55.350521
BOL,2031,46.892242,51.059086,55.410427,55.243809
BOL,2032,46.087551,50.706123,55.496586,55.152802
BOL,2033,45.254013,50.318424,55.555622,55.038914
BOL,2034,44.384075,49.909504,55.609531,54.913376
BOL,2035,43.477722,49.479282,55.65836,54.776138
BOL,2036,42.543236,49.031956,55.706913,54.631416
BOL,2037,41.603951,48.574383,55.765182,54.481014
BOL,2038,40.630169,48.095768,55.818851,54.319321
BOL,2039,39.621838,47.595997,55.867954,54.14629
BOL,2040,38.579006,47.074913,55.912529,53.961868
BOL,2041,37.511135,46.536705,55.957066,53.76955
BOL,2042,36.43169,45.982792,56.00835,53.567757
BOL,2043,35.319485,45.407696,56.055523,53.354843
BOL,2044,34.174538,44.811337,56.098614,53.130787
BOL,2045,32.996929,44.193504,56.13765,52.895535
BOL,2046,31.799099,43.558697,56.176285,52.65028
BOL,2047,30.592644,42.905735,56.217052,52.390213
BOL,2048,29.35545,42.231369,56.254097,52.119011
BOL,2049,28.08754,41.535503,56.287434,51.836597
BOL,2050,26.789036,40.818016,56.317097,51.542938
BOL,2051,25.477091,40.084103,56.347591,51.242069
BOL,2052,24.146984,39.332848,56.383766,50.933411
BOL,2053,22.787735,38.560024,56.416603,50.613743
BOL,2054,21.399414,37.765453,56.446117,50.283009
BOL,2055,19.982027,36.949013,56.472328,49.941158
BOL,2056,18.547806,36.116734,56.499302,49.591045
BOL,2057,17.097343,35.267826,56.530838,49.232319
BOL,2058,15.619108,34.397102,56.559341,48.862556
BOL,2059,14.113197,33.504414,56.584839,48.481709
BOL,2060,12.579567,32.589588,56.607353,48.089714
BOL,2061,11.031897,31.658188,56.629398,47.684193
BOL,2062,9.4689503,30.708366,56.652657,47.265194
BOL,2063,7.8795495,29.736355,56.673092,46.834759
BOL,2064,6.2637281,28.742075,56.690742,46.392826
BOL,2065,4.6214342,27.725353,56.705605,45.93932
BOL,2066,2.972029,26.689079,56.717709,45.463913
BOL,2067,1.3140377,25.628834,56.725975,44.967506
BOL,2068,-.36898834,24.5459,56.731499,44.458698
BOL,2069,-2.0770814,23.440119,56.734287,43.937401
BOL,2070,-3.8102295,22.311275,56.734352,43.403507
BOL,2071,-5.5499415,21.164209,56.731586,42.846874
BOL,2072,-7.2999425,19.995874,56.725399,42.269939
BOL,2073,-9.0738659,18.804321,56.716526,41.679565
BOL,2074,-10.871661,17.589457,56.704952,41.075623
BOL,2075,-12.693426,16.351032,56.690701,40.458031
BOL,2076,-14.521899,15.090954,56.673843,39.81958
BOL,2077,-16.362293,13.804642,56.654232,39.162849
BOL,2078,-18.225763,12.494468,56.631969,38.491699
BOL,2079,-20.112341,11.160181,56.607056,37.806015
