CountryCode,year,rmultiGini,gdppercappppconst
BLR,1995,25.299999,4198.924437
BLR,1996,24.4,4330.939282
BLR,1997,24.9,4845.172504
BLR,1998,25.299999,5277.204636
BLR,1999,23.5,5475.117427
BLR,2000,24.700001,5810.043576
BLR,2001,24.5,6105.786817
BLR,2002,24.6,6443.088487
BLR,2003,24.9,6932.533067
BLR,2004,24.799999,7765.217946
BLR,2005,23.799999,8540.816352
BLR,2006,27.9,9436.321528
BLR,2007,,10284.54004
BLR,2008,,11456.61003
BLR,2009,,11590.01457
BLR,2010,,12504.80624
BLR,2011,,13191.19114
BLR,2012,,
BLR,2013,,
BLR,2014,,
BLR,2015,,
BLR,2016,,
BLR,2017,,
BLR,2018,,
BEL,1960,,
BEL,1961,,
BEL,1962,,
BEL,1963,,
BEL,1964,,
BEL,1965,,
BEL,1966,,
BEL,1967,,
BEL,1968,,
BEL,1969,,
BEL,1970,,
BEL,1971,,
BEL,1972,,
BEL,1973,,
BEL,1974,,
BEL,1975,,
BEL,1976,,
BEL,1977,,
BEL,1978,,
BEL,1979,,
BEL,1980,,20793.16328
BEL,1981,,20735.6382
BEL,1982,,20864.68214
BEL,1983,,20931.40996
BEL,1984,,21447.98071
BEL,1985,22.5,21795.76377
BEL,1986,,22185.13854
BEL,1987,,22677.53281
BEL,1988,23.4,23673.25679
BEL,1989,,24405.70711
BEL,1990,,25096.45406
BEL,1991,,25461.70076
BEL,1992,23.700001,25746.76123
BEL,1993,,25399.69502
BEL,1994,,26138.6531
BEL,1995,29,26706.0057
BEL,1996,28,27033.63285
BEL,1997,27,27975.56854
BEL,1998,27,28454.35069
BEL,1999,29,29394.10323
BEL,2000,30,30398.96358
BEL,2001,28,30539.2785
BEL,2002,,30816.08373
BEL,2003,28,30934.96693
BEL,2004,26,31809.88551
BEL,2005,28,32189.35133
BEL,2006,28,32830.3983
BEL,2007,26.299999,33529.87247
BEL,2008,27.5,33593.76852
BEL,2009,26.4,32399.37508
BEL,2010,26.6,32881.27092
BEL,2011,26.299999,33126.6783
BEL,2012,,
BEL,2013,,
BEL,2014,,
BEL,2015,,
BEL,2016,,
BEL,2017,,
BEL,2018,,
BOL,1960,,
BOL,1961,,
BOL,1962,,
BOL,1963,,
BOL,1964,,
BOL,1965,,
BOL,1966,,
BOL,1967,,
BOL,1968,,
BOL,1969,,
BOL,1970,,
BOL,1971,,
BOL,1972,,
BOL,1973,,
BOL,1974,,
BOL,1975,,
BOL,1976,,
BOL,1977,,
BOL,1978,,
BOL,1979,,
BOL,1980,,3779.035629
BOL,1981,,3707.459306
BOL,1982,,3486.10315
BOL,1983,,3275.258229
BOL,1984,,3200.164471
BOL,1985,,3079.715846
BOL,1986,,2935.906294
BOL,1987,,2942.846993
BOL,1988,,2961.866443
BOL,1989,,3005.662071
BOL,1990,,3074.12728
BOL,1991,,3162.237583
BOL,1992,,3140.407959
BOL,1993,,3199.233638
BOL,1994,,3272.437449
BOL,1995,,3349.098977
BOL,1996,,3418.879914
BOL,1997,56,3511.608361
BOL,1998,,3610.994621
BOL,1999,56,3551.747421
BOL,2000,,3566.993685
BOL,2001,56,3554.544909
BOL,2002,58,3571.294387
BOL,2003,53,3597.701941
BOL,2004,,3678.166581
BOL,2005,56,3772.038631
BOL,2006,54,3885.021877
BOL,2007,55,3995.024559
BOL,2008,54,4172.334708
BOL,2009,,4244.019317
BOL,2010,,4349.550779
BOL,2011,,4502.828702
BOL,2012,,
BOL,2013,,
BOL,2014,,
BOL,2015,,
BOL,2016,,
BOL,2017,,
BOL,2018,,
BRA,1960,,
BRA,1961,,
BRA,1962,,
BRA,1963,,
BRA,1964,,
BRA,1965,,
BRA,1966,,
BRA,1967,,
BRA,1968,,
BRA,1969,,
BRA,1970,,
BRA,1971,,
BRA,1972,,
BRA,1973,,
BRA,1974,,
BRA,1975,,
BRA,1976,,
BRA,1977,,
BRA,1978,,
BRA,1979,,
BRA,1980,,7566.662655
BRA,1981,55,7067.204104
BRA,1982,56,6945.090099
BRA,1983,56,6556.876725
BRA,1984,56,6751.202191
BRA,1985,53,7134.310881
BRA,1986,56,7548.934666
BRA,1987,57,7669.436429
BRA,1988,59,7519.486359
BRA,1989,61,7627.842092
BRA,1990,59,7174.895075
BRA,1991,,7163.866358
BRA,1992,,7018.087854
BRA,1993,58,7233.020218
BRA,1994,,7503.532848
BRA,1995,58,7716.367747
BRA,1996,58,7762.633948
BRA,1997,58,7903.113604
BRA,1998,57,7787.359404
BRA,1999,57,7692.537996
BRA,2000,,7909.257055
BRA,2001,57,7902.181386
BRA,2002,57,8002.92457
BRA,2003,56,7990.241651
BRA,2004,55,8343.882110000001
BRA,2005,,8509.430265999999
BRA,2006,,8753.239342999999
BRA,2007,,9196.765101000001
BRA,2008,,9584.04938
BRA,2009,,9468.388584
BRA,2010,,10092.91997
BRA,2011,,10278.62631
BRA,2012,,
BRA,2013,,
BRA,2014,,
BRA,2015,,
BRA,2016,,
BRA,2017,,
BRA,2018,,
BGR,1960,,
BGR,1961,,
BGR,1962,,
BGR,1963,,
BGR,1964,,
BGR,1965,,
BGR,1966,,
BGR,1967,,
BGR,1968,,
BGR,1969,,
BGR,1970,,
BGR,1971,,
BGR,1972,,
BGR,1973,,
BGR,1974,,
BGR,1975,,
BGR,1976,,
BGR,1977,,
BGR,1978,,
BGR,1979,,
BGR,1980,,5826.933828
BGR,1981,,6092.125977
BGR,1982,,6215.935897
BGR,1983,,6413.13778
BGR,1984,,6615.459918
BGR,1985,,6793.081928
BGR,1986,,7080.785345
BGR,1987,,7498.453435
BGR,1988,,8309.792894
BGR,1989,,8130.991859
BGR,1990,,7524.159044
BGR,1991,,6957.28372
BGR,1992,33.099998,6520.974108
BGR,1993,33.5,6475.900255
BGR,1994,37.400002,6616.061952
BGR,1995,38.400002,6835.672138
BGR,1996,35.700001,6250.560231
BGR,1997,36.599998,6185.24659
BGR,1998,34.5,6529.359355
BGR,1999,32.599998,6695.035785
BGR,2000,33.200001,7111.690613
BGR,2001,33.299999,7548.87327
BGR,2002,37,8056.163507
BGR,2003,35.099998,8548.042318
BGR,2004,35.799999,9170.456023999999
BGR,2005,33.799999,9809.381211
BGR,2006,31,10502.46207
BGR,2007,31.9,11231.88915
BGR,2008,31.1,11985.17257
BGR,2009,33.400002,11383.12323
BGR,2010,33.200001,11505.77722
BGR,2011,35.099998,11792.60891
BGR,2012,,
BGR,2013,,
BGR,2014,,
BGR,2015,,
BGR,2016,,
BGR,2017,,
BGR,2018,,
KHM,1960,,
KHM,1961,,
KHM,1962,,
KHM,1963,,
KHM,1964,,
KHM,1965,,
KHM,1966,,
KHM,1967,,
KHM,1968,,
KHM,1969,,
KHM,1970,,
KHM,1971,,
KHM,1972,,
KHM,1973,,
KHM,1974,,
KHM,1975,,
KHM,1976,,
KHM,1977,,
KHM,1978,,
KHM,1979,,
KHM,1980,,
KHM,1981,,
KHM,1982,,
KHM,1983,,
KHM,1984,,
KHM,1985,,
KHM,1986,,
KHM,1987,,
KHM,1988,,
KHM,1989,,
KHM,1990,,
KHM,1991,,
KHM,1992,,
KHM,1993,,740.0038579
KHM,1994,,783.3454023000001
KHM,1995,,810.8849031
KHM,1996,,833.1681885
KHM,1997,,859.5623237
KHM,1998,,883.4196923
KHM,1999,,969.3617833
KHM,2000,,1035.49338
KHM,2001,,1100.455099
KHM,2002,,1156.545667
KHM,2003,,1237.677966
KHM,2004,,1348.086047
KHM,2005,,1508.008397
KHM,2006,,1650.871655
KHM,2007,,1798.974188
KHM,2008,,1898.138582
KHM,2009,,1878.682433
KHM,2010,,1968.131689
KHM,2011,,2082.680279
KHM,2012,,
KHM,2013,,
KHM,2014,,
KHM,2015,,
KHM,2016,,
KHM,2017,,
KHM,2018,,
CMR,1960,,
CMR,1961,,
CMR,1962,,
CMR,1963,,
CMR,1964,,
CMR,1965,,
CMR,1966,,
CMR,1967,,
CMR,1968,,
CMR,1969,,
CMR,1970,,
CMR,1971,,
CMR,1972,,
CMR,1973,,
CMR,1974,,
CMR,1975,,
CMR,1976,,
CMR,1977,,
CMR,1978,,
CMR,1979,,
CMR,1980,,2006.727844
CMR,1981,,2282.048756
CMR,1982,,2384.312986
CMR,1983,,2476.632064
CMR,1984,,2586.678757
CMR,1985,,2715.302854
CMR,1986,,2815.122229
CMR,1987,,2674.291473
CMR,1988,,2393.18096
CMR,1989,,2281.834142
CMR,1990,,2081.745856
CMR,1991,,1946.671648
CMR,1992,,1834.694912
CMR,1993,,1728.478652
CMR,1994,,1641.475304
CMR,1995,,1652.993795
CMR,1996,,1693.473207
CMR,1997,,1737.943124
CMR,1998,,1783.555033
CMR,1999,,1819.656061
CMR,2000,,1853.243515
CMR,2001,,1893.254308
CMR,2002,,1924.949792
CMR,2003,,1957.766908
CMR,2004,,1985.070826
CMR,2005,,1985.738586
CMR,2006,,2004.634813
CMR,2007,,2027.102942
CMR,2008,,2033.646393
CMR,2009,,2028.795835
CMR,2010,,2043.008768
CMR,2011,,2082.958439
CMR,2012,,
CMR,2013,,
CMR,2014,,
CMR,2015,,
CMR,2016,,
CMR,2017,,
CMR,2018,,
CAN,1960,,
CAN,1961,,
CAN,1962,,
CAN,1963,,
CAN,1964,,
CAN,1965,,
CAN,1966,,
CAN,1967,,
CAN,1968,,
CAN,1969,,
CAN,1970,,
CAN,1971,,
CAN,1972,,
CAN,1973,,
CAN,1974,,
CAN,1975,,
CAN,1976,,
CAN,1977,,
CAN,1978,,
CAN,1979,,
CAN,1980,28.5,23070.39782
CAN,1981,28.4,23584.17483
CAN,1982,28.6,22635.36859
CAN,1983,29.4,23018.55998
CAN,1984,29.200001,24123.8405
CAN,1985,28.799999,25043.13069
CAN,1986,28.700001,25392.91593
CAN,1987,28.6,26127.93659
CAN,1988,28.1,27075.83077
CAN,1989,27.799999,27293.87772
CAN,1990,28.1,26941.15046
CAN,1991,28.700001,26021.06033
CAN,1992,28.299999,25928.58116
CAN,1993,28.6,26246.13497
CAN,1994,28.299999,27243.91104
CAN,1995,28.799999,27778.03578
CAN,1996,29.1,27925.27945
CAN,1997,30,28799.35035
CAN,1998,30,29720.99855
CAN,1999,29.799999,31106.65914
CAN,2000,30.1,32446.78708
CAN,2001,,32693.85017
CAN,2002,,33349.45697
CAN,2003,,33639.97767
CAN,2004,31.799999,34343.67186
CAN,2005,,35033.42293
CAN,2006,,35730.41647
CAN,2007,31.5,36124.31315
CAN,2008,,35948.05699
CAN,2009,,34526.90333
CAN,2010,31.700001,35222.88206
CAN,2011,,35716.02764
CAN,2012,,
CAN,2013,,
CAN,2014,,
CAN,2015,,
CAN,2016,,
CAN,2017,,
CAN,2018,,
CHL,1960,,
CHL,1961,,
CHL,1962,,
CHL,1963,,
CHL,1964,,
CHL,1965,,
CHL,1966,,
CHL,1967,,
CHL,1968,,
CHL,1969,,
CHL,1970,,
CHL,1971,,
CHL,1972,,
CHL,1973,,
CHL,1974,,
CHL,1975,,
CHL,1976,,
CHL,1977,,
CHL,1978,,
CHL,1979,,
CHL,1980,,5646.018995
CHL,1981,,5825.09965
CHL,1982,,5142.720608
CHL,1983,,4868.931086
CHL,1984,,5171.613463
CHL,1985,,5448.721353
CHL,1986,,5658.568581
CHL,1987,54.700001,5931.363723
CHL,1988,,6257.806586
CHL,1989,,6799.739003
CHL,1990,54.700001,6927.263531
CHL,1991,,7344.867189
CHL,1992,52.200001,8096.508296
CHL,1993,,8506.055727999999
CHL,1994,55.599998,8835.862923999999
CHL,1995,57.200001,9615.805912
CHL,1996,56.400002,10172.40748
CHL,1997,,10691.43069
CHL,1998,,10890.72582
CHL,1999,57.299999,10671.3454
CHL,2000,61.400002,11014.96138
CHL,2001,,11249.25106
CHL,2002,,11362.09839
CHL,2003,53,11681.55891
CHL,2004,,12254.86094
CHL,2005,,12801.64464
CHL,2006,51,13253.50045
CHL,2007,,13726.03042
CHL,2008,,14091.1937
CHL,2009,51,13813.43858
CHL,2010,,14520.13391
CHL,2011,,15250.75923
CHL,2012,,
CHL,2013,,
CHL,2014,,
CHL,2015,,
CHL,2016,,
CHL,2017,,
CHL,2018,,
CHN,1960,,
CHN,1961,,
CHN,1962,,
CHN,1963,,
CHN,1964,,
CHN,1965,,
CHN,1966,,
CHN,1967,,
CHN,1968,,
CHN,1969,,
CHN,1970,,
CHN,1971,,
CHN,1972,,
CHN,1973,,
CHN,1974,,
CHN,1975,,
CHN,1976,,
CHN,1977,,
CHN,1978,31.700001,
CHN,1979,,
CHN,1980,,523.9502539
CHN,1981,,544.1801420000001
CHN,1982,,585.0213221
CHN,1983,28.4,639.4813812
CHN,1984,,727.0799040000001
CHN,1985,22.4,814.0746264000001
CHN,1986,,872.6365967
CHN,1987,,958.3700843
CHN,1988,,1049.629343
CHN,1989,,1076.039515
CHN,1990,,1100.659931
CHN,1991,34.099998,1185.632603
CHN,1992,,1337.500032
CHN,1993,,1507.321586
CHN,1994,,1685.620731
CHN,1995,29,1849.152636
CHN,1996,,2012.859331
CHN,1997,,2177.653613
CHN,1998,,2325.092775
CHN,1999,,2480.231467
CHN,2000,39,2667.469383
CHN,2001,,2867.961183
CHN,2002,,3108.0518
CHN,2003,44.900002,3397.628437
CHN,2004,,3718.636985
CHN,2005,,4114.572834
CHN,2006,,4611.303228
CHN,2007,,5238.676581
CHN,2008,,5712.24562
CHN,2009,,6206.264294
CHN,2010,48.099998,6818.707496
CHN,2011,,7417.887727
CHN,2012,47.400002,
CHN,2013,,
CHN,2014,,
CHN,2015,,
CHN,2016,,
CHN,2017,,
CHN,2018,,
COL,1960,,
COL,1961,,
COL,1962,,
COL,1963,,
COL,1964,,
COL,1965,,
COL,1966,,
COL,1967,,
COL,1968,,
COL,1969,,
COL,1970,,
COL,1971,,
COL,1972,,
COL,1973,,
COL,1974,,
COL,1975,,
COL,1976,,
COL,1977,,
COL,1978,,
COL,1979,,
COL,1980,,5296.862192
COL,1981,,5296.373736
COL,1982,,5228.929678
COL,1983,,5196.198395
COL,1984,,5255.263839
COL,1985,,5303.043801
COL,1986,,5495.890398
COL,1987,,5672.563678
COL,1988,,5784.035919
COL,1989,,5863.331019
COL,1990,,6096.664358
COL,1991,,6116.380192
COL,1992,,6303.646727
COL,1993,,6333.63218
COL,1994,,6581.210269
COL,1995,,6799.118619
COL,1996,54,6815.633145
COL,1997,,6925.808783
COL,1998,,6844.944151
COL,1999,55,6445.909304
COL,2000,55,6618.844776
COL,2001,55,6620.280994
COL,2002,57,6677.757396
COL,2003,53,6830.696319
COL,2004,55,7083.996585
COL,2005,54,7304.555744
COL,2006,57,7676.77756
COL,2007,56,8085.182945
COL,2008,54,8250.393301
COL,2009,55,8267.566811999999
COL,2010,54,8479.351874
COL,2011,,8859.817808
COL,2012,,
COL,2013,,
COL,2014,,
COL,2015,,
COL,2016,,
COL,2017,,
COL,2018,,
CRI,1960,,
CRI,1961,,
CRI,1962,,
CRI,1963,,
CRI,1964,,
CRI,1965,,
CRI,1966,,
CRI,1967,,
CRI,1968,,
CRI,1969,,
CRI,1970,,
CRI,1971,,
CRI,1972,,
CRI,1973,,
CRI,1974,,
CRI,1975,,
CRI,1976,,
CRI,1977,,
CRI,1978,,
CRI,1979,,
CRI,1980,,6377.736379
CRI,1981,,6062.637099
CRI,1982,,5466.292419
CRI,1983,,5468.27944
CRI,1984,,5648.857716
CRI,1985,,5553.489056
CRI,1986,,5717.823238
CRI,1987,,5949.599079
CRI,1988,,6016.080428
CRI,1989,42,6159.136626
CRI,1990,42,6238.929327
CRI,1991,43,6242.404127
CRI,1992,43,6650.177503
CRI,1993,43,6973.318508
CRI,1994,44,7128.159535
CRI,1995,43,7227.373002
CRI,1996,44,7110.702274
CRI,1997,43,7319.746162
CRI,1998,43,7738.63026
CRI,1999,45,8176.168751
CRI,2000,44,8137.204721
CRI,2001,48,8052.681048
CRI,2002,48,8123.524207
CRI,2003,47,8483.318934000001
CRI,2004,46,8687.700794
CRI,2005,45,9041.537249000001
CRI,2006,47,9672.827976000001
CRI,2007,47,10274.4175
CRI,2008,47,10392.8189
CRI,2009,48,10133.38658
CRI,2010,46,10452.56975
CRI,2011,,10735.02195
CRI,2012,,
CRI,2013,,
CRI,2014,,
CRI,2015,,
CRI,2016,,
CRI,2017,,
CRI,2018,,
HRV,1960,,
HRV,1961,,
HRV,1962,,
HRV,1963,,
HRV,1964,,
HRV,1965,,
HRV,1966,,
HRV,1967,,
HRV,1968,,
HRV,1969,,
HRV,1970,,
HRV,1971,,
HRV,1972,,
HRV,1973,,
HRV,1974,,
HRV,1975,,
HRV,1976,,
HRV,1977,,
HRV,1978,,
HRV,1979,,
HRV,1980,,
HRV,1981,,
HRV,1982,,
HRV,1983,,
HRV,1984,,
HRV,1985,,
HRV,1986,,
HRV,1987,,
HRV,1988,,
HRV,1989,,
HRV,1990,,
HRV,1991,,
HRV,1992,,
HRV,1993,,
HRV,1994,,
HRV,1995,,9925.073496000001
HRV,1996,,10922.03843
HRV,1997,,11438.21056
HRV,1998,,11848.31333
HRV,1999,,11588.29639
HRV,2000,,12370.605
HRV,2001,,12782.44158
HRV,2002,,13406.00304
HRV,2003,,14126.04853
HRV,2004,,14712.54721
HRV,2005,,15331.85397
HRV,2006,,16095.76479
HRV,2007,,16925.44727
HRV,2008,,17286.02424
HRV,2009,,16103.28761
HRV,2010,,15916.54356
HRV,2011,,15954.19174
HRV,2012,,
HRV,2013,,
HRV,2014,,
HRV,2015,,
HRV,2016,,
HRV,2017,,
HRV,2018,,
CYP,1960,,
CYP,1961,,
CYP,1962,,
CYP,1963,,
CYP,1964,,
CYP,1965,,
CYP,1966,,
CYP,1967,,
CYP,1968,,
CYP,1969,,
CYP,1970,,
CYP,1971,,
CYP,1972,,
CYP,1973,,
CYP,1974,,
CYP,1975,,
CYP,1976,,
CYP,1977,,
CYP,1978,,
CYP,1979,,
CYP,1980,,11257.04725
CYP,1981,,11350.34855
CYP,1982,,11892.27257
CYP,1983,,12452.99846
CYP,1984,,13369.25951
CYP,1985,,13852.58986
CYP,1986,,14201.87008
CYP,1987,,15040.81304
CYP,1988,,16168.99229
CYP,1989,,17206.96246
CYP,1990,,18091.39516
CYP,1991,,17759.46434
CYP,1992,,18918.77306
CYP,1993,,18596.65672
CYP,1994,,19290.72157
CYP,1995,,20099.72025
CYP,1996,,20147.63356
CYP,1997,,20330.56649
CYP,1998,,21095.6398
CYP,1999,,21871.98993
CYP,2000,,22731.86841
CYP,2001,,23393.44107
CYP,2002,,23586.98542
CYP,2003,,23630.20831
CYP,2004,,24061.91444
CYP,2005,,24408.04168
CYP,2006,,24929.57969
CYP,2007,,25826.56076
CYP,2008,,26456.26903
CYP,2009,,25789.81686
CYP,2010,,25961.15599
CYP,2011,,26045.55539
CYP,2012,,
CYP,2013,,
CYP,2014,,
CYP,2015,,
CYP,2016,,
CYP,2017,,
CYP,2018,,
CZE,1960,,
CZE,1961,,
CZE,1962,,
CZE,1963,,
CZE,1964,,
CZE,1965,,
CZE,1966,,
CZE,1967,,
CZE,1968,,
CZE,1969,,
CZE,1970,,
CZE,1971,,
CZE,1972,,
CZE,1973,,
CZE,1974,,
CZE,1975,,
CZE,1976,,
CZE,1977,,
CZE,1978,,
CZE,1979,,
CZE,1980,,
CZE,1981,,
CZE,1982,,
CZE,1983,,
CZE,1984,,
CZE,1985,,
CZE,1986,,
CZE,1987,,
CZE,1988,,
CZE,1989,18.5,
CZE,1990,20.1,16360.99682
CZE,1991,22.200001,14495.38858
CZE,1992,,14407.26698
CZE,1993,,14401.22471
CZE,1994,,14814.84757
CZE,1995,,15746.16866
CZE,1996,25.799999,16480.12838
CZE,1997,,16357.30283
CZE,1998,,16334.13146
CZE,1999,,16625.44104
CZE,2000,,17340.76469
CZE,2001,25,17940.46712
CZE,2002,,18382.8222
CZE,2003,,19070.49076
CZE,2004,26.6,19958.03235
CZE,2005,26,21264.44122
CZE,2006,25.299999,22683.48192
CZE,2007,25.299999,23833.44882
CZE,2008,24.700001,24359.46675
CZE,2009,25.1,23122.16107
CZE,2010,24.9,23625.03035
CZE,2011,25.200001,24011.01701
CZE,2012,,
CZE,2013,,
CZE,2014,,
CZE,2015,,
CZE,2016,,
CZE,2017,,
CZE,2018,,
CIV,1960,,
CIV,1961,,
CIV,1962,,
CIV,1963,,
CIV,1964,,
CIV,1965,,
CIV,1966,,
CIV,1967,,
CIV,1968,,
CIV,1969,,
CIV,1970,,
CIV,1971,,
CIV,1972,,
CIV,1973,,
CIV,1974,,
CIV,1975,,
CIV,1976,,
CIV,1977,,
CIV,1978,,
CIV,1979,,
CIV,1980,,2619.955565
CIV,1981,,2594.207937
CIV,1982,,2488.595915
CIV,1983,,2292.044202
CIV,1984,,2140.505175
CIV,1985,41.200001,2150.564663
CIV,1986,38.599998,2138.845206
CIV,1987,40,2056.178204
CIV,1988,36.900002,2008.500306
CIV,1989,,1998.263569
CIV,1990,,1910.528035
CIV,1991,,1848.09851
CIV,1992,,1783.52326
CIV,1993,36.900002,1723.61904
CIV,1994,,1684.728968
CIV,1995,,1752.733862
CIV,1996,,1836.565538
CIV,1997,,1891.190931
CIV,1998,40.799999,1932.857075
CIV,1999,,1919.478341
CIV,2000,,1810.689712
CIV,2001,,1776.954708
CIV,2002,46.200001,1722.190838
CIV,2003,,1668.708877
CIV,2004,,1672.170868
